stationId,destination_stationId,hour,lat,lng,destination_lat,destination_lng,delta_time,timestamp,weekday,month,is_weekend,is_rush_hour,date,time,origin_rain,destination_rain,rain
1992,323,5,10.872419,106.768248,10.875454,106.758689,248.28744,2026-01-28 05:47:27,2,1,0,0,2026-01-28,05:47:27,0.000,0.000,0.000
1992,323,16,10.872419,106.768248,10.875454,106.758689,145.682976,2026-02-05 16:53:32,3,2,0,0,2026-02-05,16:53:32,0.000,0.000,0.000
1992,323,10,10.872419,106.768248,10.875454,106.758689,163.233489,2026-02-25 10:45:15,2,2,0,0,2026-02-25,10:45:15,0.000,0.000,0.000
1992,323,16,10.872419,106.768248,10.875454,106.758689,249.707966,2026-03-05 16:18:03,3,3,0,0,2026-03-05,16:18:03,0.200,0.200,0.200
1992,323,5,10.872419,106.768248,10.875454,106.758689,173.044782,2026-03-13 05:23:40,4,3,0,0,2026-03-13,05:23:40,0.000,0.000,0.000
1992,323,14,10.872419,106.768248,10.875454,106.758689,223.594038,2026-03-26 14:08:31,3,3,0,0,2026-03-26,14:08:31,0.000,0.000,0.000
1992,323,8,10.872419,106.768248,10.875454,106.758689,173.34361,2026-01-08 08:18:58,3,1,0,1,2026-01-08,08:18:58,0.000,0.000,0.000
1992,323,14,10.872419,106.768248,10.875454,106.758689,170.172401,2026-01-14 14:18:17,2,1,0,0,2026-01-14,14:18:17,0.100,0.000,0.000
1992,323,18,10.872419,106.768248,10.875454,106.758689,293.304278,2026-01-23 18:13:38,4,1,0,1,2026-01-23,18:13:38,0.000,0.000,0.000
1992,323,8,10.872419,106.768248,10.875454,106.758689,153.926297,2026-02-26 08:42:51,3,2,0,1,2026-02-26,08:42:51,1.900,1.700,1.700
1992,323,17,10.872419,106.768248,10.875454,106.758689,169.216706,2026-02-28 17:24:37,5,2,1,1,2026-02-28,17:24:37,0.100,0.000,0.000
1992,323,12,10.872419,106.768248,10.875454,106.758689,132.108958,2026-03-02 12:04:32,0,3,0,0,2026-03-02,12:04:32,0.000,0.000,0.000
1992,323,17,10.872419,106.768248,10.875454,106.758689,185.577081,2026-03-03 17:47:35,1,3,0,1,2026-03-03,17:47:35,0.000,0.000,0.000
