stationId,destination_stationId,hour,lat,lng,destination_lat,destination_lng,estimate_time,predict_time,delta_time
1992,323,14,10.872419,106.768248,10.875454,106.758689,144,153,141.87961
1992,323,16,10.872419,106.768248,10.875454,106.758689,143.4,176.4,214.738806
1992,323,18,10.872419,106.768248,10.875454,106.758689,144.6,174.6,131.112207
1992,323,14,10.872419,106.768248,10.875454,106.758689,187.8,153,197.674791
1992,323,7,10.872419,106.768248,10.875454,106.758689,133.8,174.6,191.282736
1992,323,12,10.872419,106.768248,10.875454,106.758689,139.8,145.8,151.191171
1992,323,10,10.872419,106.768248,10.875454,106.758689,181.2,197.4,139.44808
1992,323,6,10.872419,106.768248,10.875454,106.758689,128.4,166.8,192.903437
1992,323,15,10.872419,106.768248,10.875454,106.758689,140.4,202.2,144.048183
1992,323,16,10.872419,106.768248,10.875454,106.758689,144.6,176.4,127.109001
1992,323,18,10.872419,106.768248,10.875454,106.758689,144.6,174.6,165.513797
1992,323,16,10.872419,106.768248,10.875454,106.758689,189,176.4,167.208697
1992,323,16,10.872419,106.768248,10.875454,106.758689,143.4,176.4,122.040953
1992,323,4,10.872419,106.768248,10.875454,106.758689,139.8,128.4,105.69429
1992,323,18,10.872419,106.768248,10.875454,106.758689,144.6,174.6,264.974134
1992,323,13,10.872419,106.768248,10.875454,106.758689,151.8,156.6,154.048239
1992,323,16,10.872419,106.768248,10.875454,106.758689,144.6,176.4,282.663723
1992,323,18,10.872419,106.768248,10.875454,106.758689,144.6,174.6,125.516936
1992,323,18,10.872419,106.768248,10.875454,106.758689,144.6,174.6,186.561094
1992,323,17,10.872419,106.768248,10.875454,106.758689,144.6,187.2,188.390242
1992,323,18,10.872419,106.768248,10.875454,106.758689,170.4,174.6,891.276558
1992,323,13,10.872419,106.768248,10.875454,106.758689,161.4,156.6,168.780527
1992,323,18,10.872419,106.768248,10.875454,106.758689,144.6,174.6,245.359421
1992,323,18,10.872419,106.768248,10.875454,106.758689,175.8,174.6,271.776229
1992,323,20,10.872419,106.768248,10.875454,106.758689,182.4,135,134.840238
1992,323,16,10.872419,106.768248,10.875454,106.758689,144.6,176.4,270.504265
1992,323,12,10.872419,106.768248,10.875454,106.758689,144.6,145.8,186.246179
1992,323,16,10.872419,106.768248,10.875454,106.758689,189,176.4,173.124683
1992,323,4,10.872419,106.768248,10.875454,106.758689,139.8,128.4,115.338834
1992,323,15,10.872419,106.768248,10.875454,106.758689,153.6,202.2,169.847855
1992,323,16,10.872419,106.768248,10.875454,106.758689,144.6,176.4,143.994139
1992,323,6,10.872419,106.768248,10.875454,106.758689,119.4,166.8,166.358352
1992,323,14,10.872419,106.768248,10.875454,106.758689,162,153,149.00237
1992,323,15,10.872419,106.768248,10.875454,106.758689,161.4,202.2,217.078088
1992,323,13,10.872419,106.768248,10.875454,106.758689,151.8,156.6,125.454702
1992,323,18,10.872419,106.768248,10.875454,106.758689,144.6,174.6,180.079239
1992,323,18,10.872419,106.768248,10.875454,106.758689,137.4,174.6,220.233606
1992,323,7,10.872419,106.768248,10.875454,106.758689,146.4,174.6,156.961362
1992,323,13,10.872419,106.768248,10.875454,106.758689,151.8,156.6,168.862328
1992,323,16,10.872419,106.768248,10.875454,106.758689,144.6,176.4,143.686219
