split,method,rows,mae,rmse,mape,p50,p90,p95,r2,mae_improvement_vs_api_pct,p95_improvement_vs_api_pct
train,api_eta,215,50.38511845116279,79.11834390050386,22.95008932893286,32.380547999999976,108.37728139999996,173.9882819999999,-0.2809051465800967,0.0,0.0
train,additive_global,215,47.611481032558146,74.22773015581464,23.173911978813894,32.44260800000001,98.62243659999999,158.19280899999993,-0.12744393583474523,5.504874264199796,9.078469433935783
train,additive_time_bin,215,46.295005390697675,72.50338443135033,22.58831635828876,30.808344000000005,97.0147148,150.34227939999985,-0.07567024147947321,8.117700595324735,13.590571921389552
train,additive_smoothed_time_bin,215,47.10677265132986,73.27954348040097,23.115326804033625,32.088531441860454,99.38754679259256,154.44778544700839,-0.0988239194164875,6.506575553673763,11.230926777581226
train,ratio_global,215,48.02324608926826,74.68796421000985,23.429690702955853,31.633732915605066,100.35226146974517,159.41748299999992,-0.1414682559319449,4.687638799904457,8.37458639887024
train,ratio_time_bin,215,46.755737293367254,72.78724822150414,23.038154834992763,30.028013828382285,98.40812405608648,149.80924379133504,-0.08410961495454439,7.203279994892572,13.896934857178996
train,ratio_smoothed_time_bin,215,46.755737293367254,72.78724822150414,23.038154834992763,30.028013828382285,98.40812405608648,149.80924379133504,-0.08410961495454439,7.203279994892572,13.896934857178996
train,affine_global,215,46.69482665251004,71.35273122940433,22.949277562587405,33.000350756968345,87.01946668577062,144.6283404572291,-0.041798667815941215,7.324170136127936,16.874666043757383
train,affine_time_bin,215,45.06111247260604,69.12120333611185,22.12557184779875,31.303652252846746,90.61215266893791,139.66919011250462,0.022346014867104413,10.566623920349008,19.724944400275938
train,affine_smoothed_time_bin,215,46.105418841012565,70.33184264014598,22.820372351348343,34.43614362542456,85.66717889827193,141.0242661782796,-0.012200589673466489,8.493975486627951,18.94611260183622
train,log_ratio_global,215,48.02324608926826,74.68796421000985,23.429690702955853,31.633732915605066,100.35226146974517,159.41748299999992,-0.1414682559319449,4.687638799904457,8.37458639887024
train,log_ratio_time_bin,215,46.75571084292728,72.78742443600551,23.03802655557454,30.020636235079593,98.40793010327229,149.80940647373168,-0.08411486411758173,7.203332491424858,13.896841355251869
train,log_ratio_smoothed_time_bin,215,46.75571084292728,72.78742443600551,23.03802655557454,30.020636235079593,98.40793010327229,149.80940647373168,-0.08411486411758173,7.203332491424858,13.896841355251869
val,api_eta,46,61.40115280434783,123.23866140655244,27.359513555271924,40.42529449999999,96.87578450000001,119.34764724999998,-0.16426148721892364,0.0,0.0
