model,formula,test_mae,test_mape,test_p95,test_r2
xgboost,additive,43.383343165872134,25.24861501726725,113.41544862482897,0.04837828445489545
xgboost,ratio,43.02356983490465,24.934529968747842,105.25745806444752,0.08365399148657471
xgboost,log_ratio,40.593433451143916,22.410363283316084,100.91917754458593,0.09969252259929162
random_forest,additive,45.10894970769194,26.889475827225112,90.63586685838644,-0.2233080882725671
random_forest,ratio,44.472505831840266,26.517791782882945,89.83386278525482,-0.18862997846549834
random_forest,log_ratio,44.67452056641875,25.79497042584167,104.8225755134134,-0.18467575750628784
