model_name,test_mae,test_mape,test_rmse,test_p50,test_p95,baseline_mae,mae_improvement_pct,p95_improvement_pct,inference_time_ms_per_sample
mlp_residual_eta,37.61157802734814,19.43193197681186,52.66096354472357,27.88195876510619,101.68414093388363,37.95616325531915,0.9078505265484642,17.83072106996789,0.015491489667762467
vietmap_baseline,37.95616325531915,18.343605528486957,56.886930194400605,23.078712999999993,123.74958409999995,37.95616325531915,0.0,0.0,
deepr_eta_like,38.45307479826713,20.94535781029693,52.21287978449331,32.31047277734373,99.54629699062495,37.95616325531915,-1.3091722142868258,19.558277537172756,0.15247446804386663
xgb_residual_eta,42.638594363005296,24.663847900980958,56.54646170729342,35.288686876190184,106.10398560429684,37.95616325531915,-12.336418399796921,14.259117413634298,0.01617234034285425
xgb_direct_eta,44.913793593770784,25.920062613355157,58.53838280370263,41.986295600585976,99.30418473710927,37.95616325531915,-18.330699790834625,19.753924460171735,0.046331915345558146
