trial,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,cv_mae_mean,cv_mae_std,cv_mape_mean,cv_mape_std,fit_time_mean
3,0.7,0.05,0.09734096464338715,4,8,600,0.0,0.75,0.85,169.2300155571103,4.140846586525441,0.1880998461216217,0.022948637899863927,0.5761245489120483
2,1.0,0.1,0.04928538203964713,8,8,600,0.5,1.5,0.85,172.46739904522894,3.548776084184638,0.19078616227241968,0.02295326027292148,1.8885456323623657
1,1.0,0.2,0.17602996790225925,5,8,150,0.0,1.0,1.0,174.53958145439623,0.6735265511274378,0.19446077727167466,0.019847215698219886,0.3242689371109009
