split,model,mae,mape,rmse,bias,p50_abs_error,p90_abs_error,underprediction_rate,mae_improvement_vs_baseline,mae_improvement_pct_vs_baseline
train,residual,143.72814489642602,0.14457273532612394,188.66230592636157,-0.4924623321542167,114.94786486029625,312.10624542236326,0.49965625,321.312808228574,0.6909344350629851
test,residual,139.6712624223018,0.1409379763126552,181.4527053117048,0.38466281776037065,113.24068403244019,294.193930053711,0.4990625,304.4675500776982,0.6855234028386075
